sample	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8	gene_9	gene_10
sample_1	11.9502773143241	12.3385494498035	12.561900862111	13.1197801809003	14.0555417299093	11.9209641317644	12.4080180641143	12.1758769369498	15.5056203689166	15.6704145762529
sample_2	19.7423335306083	19.325908637963	19.8183700145624	19.605768588437	20.1463785087379	20.1354756913285	19.8245590924268	20.6690200001483	22.7437190391916	22.7650839475503
sample_3	-1.50975150370673	-2.29961601721158	-2.32933375686712	-2.1020116235535	-2.40905530331104	-2.53893991855785	-1.51442574482389	-1.59614621416799	-0.11473310296252	1.25144305796767
sample_4	17.1239281132439	16.5976801205585	17.7484471493211	16.7006102571532	17.3039343494442	17.005567347963	17.7061803021805	18.4575899387647	16.3661211661063	19.3153453350125
sample_5	9.11566870594242	8.80951476341514	9.94690485467881	9.22673357971207	9.22784588535287	8.8592612317611	9.24009076329766	10.7753805279111	9.30954461240015	10.5757792379238
sample_6	8.67720523226716	9.40924826376192	8.69829130643635	9.41147309273969	7.52538109223228	9.32931122861035	9.65690736011533	8.57090647058533	8.62733648345025	8.99991203054463
sample_7	25.0252134551628	24.8220221439604	24.5827648354119	24.6564057302537	23.56275024897	24.160547123263	24.3346348486665	26.0278196770319	24.5291661780381	25.6798447810582
sample_8	12.5026592023696	13.7403971539731	13.6371061797398	13.3399891002942	12.1312363128356	13.5528966852098	14.9756979553579	14.5859524418799	13.3831825574613	16.2409660040082
sample_9	7.61157469394862	7.20830826334746	7.01689563991338	6.7920488979574	7.56807672263565	7.63777146271489	7.98757112511553	10.1925680100117	8.81041694662266	8.00987462047935
sample_10	18.5543068413424	19.5808351245345	18.6716358419982	17.7479664569545	18.887805346043	19.0638419336368	18.3660370738715	19.1350485790412	18.3821721443943	21.339447996166
sample_11	19.861230713685	19.7395815863511	20.0544718940191	18.9673486755412	20.3537137930299	20.6728479665311	18.9117289192661	19.4094979976531	19.2767203188819	20.9625497287218
sample_12	13.9306012642861	14.3391755679612	14.7218591321814	15.0815813036216	13.8079308985778	14.3148423459678	14.8626244579742	14.0158079397196	15.6647829962002	14.1762303213099
sample_13	5.73684064745615	6.67120444876493	6.35756851310321	7.24349902886992	6.99052955546512	5.35492274576453	6.94565278284529	7.45993992647974	7.29243009143023	7.86797584742585
sample_14	0.926502072216064	0.308283690278264	1.4936885863804	-0.186815366566596	1.45633340171002	0.813801177699574	0.798573572616904	2.23131057929378	1.97376288793611	3.39041613717741
sample_15	-1.8184092545122	-3.23877412678048	-2.2503382944906	-2.18240197940375	-3.29680488295705	-0.793246436242786	1.39814674296228	-1.2919932401931	-3.55372198573709	-1.65668490410204
sample_16	-7.19152755496691	-5.42433943704163	-6.19207949198617	-5.61860354634825	-6.52796067579749	-6.04368487716323	-6.55768077988556	-6.5933665288516	-3.63496217017411	-5.72174344968816
sample_17	-11.863296586273	-12.1903262879655	-11.8818429170981	-11.962809802151	-12.5711870879153	-11.3534753140719	-11.5069811225344	-10.2091342755189	-11.7353245313927	-12.357622067907
