sample	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8	gene_9	gene_10
sample_1	6.09103503730112	6.47930717278051	6.70265858508805	7.26053790387727	8.19629945288632	6.06172185474138	6.54877578709126	6.31663465992676	9.64637809189365	9.81117229922994
sample_2	7.43256252028113	7.0161376276359	7.50859900423532	7.29599757810989	7.83660749841076	7.82570468100139	7.51478808209967	8.35924898982116	10.4339480288645	10.4553129372232
sample_3	6.91724749023026	6.12738297672541	6.09766523706987	6.32498737038349	6.01794369062595	5.88805907537914	6.9125732491131	6.830852779769	8.31226589097447	9.67844205190466
sample_4	7.31811365256298	6.79186565987765	7.94263268864026	6.89479579647235	7.49811988876337	7.19975288728214	7.90036584149965	8.65177547808383	6.5603067054254	9.50953087433166
sample_5	7.28895291879588	6.9827989762686	8.12018906753227	7.40001779256553	7.40113009820633	7.03254544461456	7.41337497615112	8.94866474076454	7.48282882525361	8.74906345077726
sample_6	7.68842753654852	8.42047056804328	7.70951361071771	8.42269539702105	6.53660339651364	8.34053353289171	8.66812966439669	7.58212877486669	7.63855878773161	8.01113433482599
sample_7	7.90590114567858	7.70270983447616	7.46345252592763	7.53709342076947	6.4434379394858	7.04123481377873	7.21532253918227	8.90850736754764	7.40985386855382	8.56053247157394
sample_8	6.25733297412595	7.49507092572949	7.39177995149616	7.09466287205058	5.88591008459192	7.30757045696614	8.73037172711422	8.34062621363622	7.13785632921767	9.99563977576454
sample_9	8.44786769302891	8.04460126242775	7.85318863899367	7.62834189703769	8.40436972171594	8.47406446179518	8.82386412419582	11.028861009092	9.64670994570295	8.84616761955965
sample_10	6.5597437956569	7.58627207884901	6.67707279631265	5.75340341126903	6.89324230035749	7.06927888795128	6.37147402818603	7.14048553335569	6.38760909870882	9.34488495048049
sample_11	7.64603657145765	7.52438744412376	7.83927775179178	6.75215453331388	8.1385196508025	8.45765382430378	6.69653477703871	7.19430385542577	7.06152617665459	8.74735558649446
sample_12	5.95399125871242	6.36256556238749	6.74524912660774	7.10497129804788	5.83132089300414	6.33823234039416	6.88601445240051	6.03919793414592	7.68817299062655	6.19962031573619
